Training time: 01_29 16_32 --> 01_29 16_36
Total epoch: 36
Config: Namespace(load_from_path=None, lr=0.001, num_epochs=50, save_to_path='1_29/', weight_decay=0)
Epoch 0, train_loss: 5.9015, val_loss: 0.0031
Epoch 1, train_loss: 0.0025, val_loss: 0.0020
Epoch 2, train_loss: 0.0018, val_loss: 0.0015
Epoch 3, train_loss: 0.0014, val_loss: 0.0013
Epoch 4, train_loss: 0.0012, val_loss: 0.0009
Epoch 5, train_loss: 0.0009, val_loss: 0.0007
Epoch 6, train_loss: 0.0007, val_loss: 0.0006
Epoch 7, train_loss: 0.0006, val_loss: 0.0005
Epoch 8, train_loss: 0.0007, val_loss: 0.0005
Epoch 9, train_loss: 0.0006, val_loss: 0.0006
Epoch 10, train_loss: 0.0008, val_loss: 0.0009
Epoch 11, train_loss: 0.0007, val_loss: 0.0012
Epoch 12, train_loss: 0.0006, val_loss: 0.0008
Epoch 13, train_loss: 0.0005, val_loss: 0.0005
Epoch 14, train_loss: 0.0005, val_loss: 0.0004
Epoch 15, train_loss: 0.0005, val_loss: 0.0006
Epoch 16, train_loss: 0.0005, val_loss: 0.0003
Epoch 17, train_loss: 0.0004, val_loss: 0.0003
Epoch 18, train_loss: 0.0004, val_loss: 0.0003
Epoch 19, train_loss: 0.0004, val_loss: 0.0004
Epoch 20, train_loss: 0.0003, val_loss: 0.0003
Epoch 21, train_loss: 0.0003, val_loss: 0.0003
Epoch 22, train_loss: 0.0003, val_loss: 0.0002
Epoch 23, train_loss: 0.0003, val_loss: 0.0002
Epoch 24, train_loss: 0.0003, val_loss: 0.0002
Epoch 25, train_loss: 0.0003, val_loss: 0.0002
Epoch 26, train_loss: 0.0003, val_loss: 0.0002
Epoch 27, train_loss: 0.0003, val_loss: 0.0002
Epoch 28, train_loss: 0.0003, val_loss: 0.0002
Epoch 29, train_loss: 0.0003, val_loss: 0.0003
Epoch 30, train_loss: 0.0004, val_loss: 0.0003
Epoch 31, train_loss: 0.0004, val_loss: 0.0002
Epoch 32, train_loss: 0.0004, val_loss: 0.0003
Epoch 33, train_loss: 0.0004, val_loss: 0.0004
Epoch 34, train_loss: 0.0005, val_loss: 0.0002
Epoch 35, train_loss: 0.0005, val_loss: 0.0006
